emp_id,name,age,gender,department,salary,experience,city,join_date
913,John,-5,MALE,Sales,38289,17,MUMBAI,2015-05-11
245,Bob,29,Male,Hr,-5000,-1,Kolkata,2024-01-29
54,Raj,-5,FEMALE,Marketing,40379,10,Mumbai,2019-04-06
793,Sara,-5,female,IT,-5000,17,MUMBAI,2015-11-19
2402,Sara,52,Female,IT,106673,9,Bangalore,2024-09-19
828,Arjun,-5,FEMALE,Finance,-5000,-1,Mumbai,2021-10-31
1402,Rina,-5,Femal,Marketing,103886,10,Bangalore,2024-03-20
263,David,-5,Female,Sales,-5000,-1,MUMBAI,2024-12-02
3759,Sam,32,MALE,Hr,-5000,-1,MUMBAI,2019-01-22
1797,Sam,-5,Female,IT,34371,20,MUMBAI,2021-09-08
521,Arjun,150,Mle,Hr,52953,-1,delhi,2016-04-01
2405,Neha,-5,Male,Marketing,85612,16,Kolkata,2024-06-09
4159,Mike,-5,male,Hr,89514,-1,Unknown,2015-03-21
917,Sara,-5,MALE,IT,51571,-1,Mumbai,2023-07-13
4364,Sam,150,Mle,Hr,-5000,-1,Bangalore,2021-01-17
1648,Lisa,150,FEMALE,Unknown,-5000,3,Bangalore,2015-09-20
2770,John,150,MALE,Sales,20942,20,Bangalore,2015-10-04
258,David,150,MALE,Marketing,-5000,6,Unknown,2017-09-22
3875,Neha,28,Female, finance,-5000,-1,Delhi,2022-07-21
807,Alice,150,FEMALE,HR,52591,-1,Chennai,2019-09-25
1504,Tom,45,Female,Unknown,92132,1,Mumbai,2023-06-14
1937,Raj,-5,Mle,Sales,72565,-1,Delhi,2019-05-19
2173,Chris,-5,Mle,Finance,-5000,6,Delhi,2023-05-22
2570,Alice,150,Mle,Hr,89615,1,Chennai,2015-10-08
557,Rina,41,MALE,IT,101183,-1,Kolkata,2017-04-16
2574,Rina,-5,male,Marketing,-5000,2,Unknown,2021-12-19
820,Bob,50,female,Finance,65745,-1,Kolkata,2016-10-08
3590,Lisa,150,Male,Hr,59240,-1,Mumbai,2024-12-23
877,Sam,-5,MALE,IT ,-5000,-1,Kolkata,2024-06-27
417,Bob,-5,female,IT,-5000,-1,Chennai,2023-04-25
3620,Neha,51,Female,HR,110573,17,delhi,2021-07-13
1214,Neha,24,female,IT ,-5000,6,Mumbai,2018-12-19
3330,Sam,31,male, finance,23248,-1,Bangalore,2017-12-28
1305,Eva,40,Mle,Sales,-5000,-1,Bangalore,2017-07-02
194,Mike,-5,female,HR,-5000,-1,delhi,2015-04-24
945,Tom,150,female,IT,-5000,-1,MUMBAI,2021-10-19
4190,Eva,150,MALE,Marketing,-5000,0,delhi,2019-11-02
574,David,-5,Female,Marketing,-5000,-1,MUMBAI,2022-10-26
2423,Sam,-5,Femal,Finance,-5000,12,Kolkata,2018-03-21
1722,Neha,150,FEMALE,Unknown,-5000,-1,Chennai,2022-05-22
695,Lisa,150,FEMALE,HR,118453,9,Bangalore,2016-08-26
201,Alice,-5,Female,Unknown,74321,-1,MUMBAI,2017-09-26
1209,John,64,Femal,Sales,-5000,1,Mumbai,2020-02-13
1093,Chris,150,FEMALE,Unknown,-5000,-1,Chennai,2023-05-05
3889,Chris,32,female,Hr,83517,-1,Mumbai,2023-01-01
2341,Rina,-5,FEMALE,Hr,30561,4,MUMBAI,2022-10-13
1252,Mike,-5,Femal,IT ,-5000,13,Bangalore,2024-05-04
