emp_id,name,age,gender,department,salary,experience,city,join_date
913,John,-5,MALE,Sales,38289,17,MUMBAI,11-05-2015
245,Bob,29,Male,Hr,-5000,-1,Kolkata,29-01-2024
54,Raj,-5,FEMALE,Marketing,40379,10,Mumbai,06-04-2019
793,Sara,-5,female,IT,-5000,17,MUMBAI,19-11-2015
2402,Sara,52,Female,IT,106673,9,Bangalore,19-09-2024
828,Arjun,-5,FEMALE,Finance,-5000,-1,Mumbai,31-10-2021
1402,Rina,-5,Femal,Marketing,103886,10,Bangalore,20-03-2024
263,David,-5,Female,Sales,-5000,-1,MUMBAI,02-12-2024
3759,Sam,32,MALE,Hr,-5000,-1,MUMBAI,22-01-2019
1797,Sam,-5,Female,IT,34371,20,MUMBAI,08-09-2021
521,Arjun,150,Mle,Hr,52953,-1,delhi,01-04-2016
2405,Neha,-5,Male,Marketing,85612,16,Kolkata,09-06-2024
4159,Mike,-5,male,Hr,89514,-1,Unknown,21-03-2015
917,Sara,-5,MALE,IT,51571,-1,Mumbai,13-07-2023
4364,Sam,150,Mle,Hr,-5000,-1,Bangalore,17-01-2021
1648,Lisa,150,FEMALE,Unknown,-5000,3,Bangalore,20-09-2015
2770,John,150,MALE,Sales,20942,20,Bangalore,04-10-2015
258,David,150,MALE,Marketing,-5000,6,Unknown,22-09-2017
3875,Neha,28,Female, finance,-5000,-1,Delhi,21-07-2022
807,Alice,150,FEMALE,HR,52591,-1,Chennai,25-09-2019
1504,Tom,45,Female,Unknown,92132,1,Mumbai,14-06-2023
1937,Raj,-5,Mle,Sales,72565,-1,Delhi,19-05-2019
2173,Chris,-5,Mle,Finance,-5000,6,Delhi,22-05-2023
2570,Alice,150,Mle,Hr,89615,1,Chennai,08-10-2015
557,Rina,41,MALE,IT,101183,-1,Kolkata,16-04-2017
2574,Rina,-5,male,Marketing,-5000,2,Unknown,19-12-2021
820,Bob,50,female,Finance,65745,-1,Kolkata,08-10-2016
3590,Lisa,150,Male,Hr,59240,-1,Mumbai,23-12-2024
877,Sam,-5,MALE,IT ,-5000,-1,Kolkata,27-06-2024
417,Bob,-5,female,IT,-5000,-1,Chennai,25-04-2023
3620,Neha,51,Female,HR,110573,17,delhi,13-07-2021
1214,Neha,24,female,IT ,-5000,6,Mumbai,19-12-2018
3330,Sam,31,male, finance,23248,-1,Bangalore,28-12-2017
1305,Eva,40,Mle,Sales,-5000,-1,Bangalore,02-07-2017
194,Mike,-5,female,HR,-5000,-1,delhi,24-04-2015
945,Tom,150,female,IT,-5000,-1,MUMBAI,19-10-2021
4190,Eva,150,MALE,Marketing,-5000,0,delhi,02-11-2019
574,David,-5,Female,Marketing,-5000,-1,MUMBAI,26-10-2022
2423,Sam,-5,Femal,Finance,-5000,12,Kolkata,21-03-2018
1722,Neha,150,FEMALE,Unknown,-5000,-1,Chennai,22-05-2022
695,Lisa,150,FEMALE,HR,118453,9,Bangalore,26-08-2016
201,Alice,-5,Female,Unknown,74321,-1,MUMBAI,26-09-2017
1209,John,64,Femal,Sales,-5000,1,Mumbai,13-02-2020
1093,Chris,150,FEMALE,Unknown,-5000,-1,Chennai,05-05-2023
3889,Chris,32,female,Hr,83517,-1,Mumbai,01-01-2023
2341,Rina,-5,FEMALE,Hr,30561,4,MUMBAI,13-10-2022
1252,Mike,-5,Femal,IT ,-5000,13,Bangalore,04-05-2024
3442,Arjun,150,Male, finance,82518,-1,MUMBAI,27-07-2024
3433,Rina,47,female, finance,83654,-1,MUMBAI,14-02-2023
1353,Chris,150,Male, finance,97580,-1,Chennai,20-09-2024
3783,Raj,-5,Femal,IT ,-5000,-1,MUMBAI,13-02-2018
3454,Tom,69,Mle,IT,118176,11,Mumbai,05-10-2023
330,John,31,Male,Finance,51266,15,Bangalore,19-03-2020
2100,Sara,150,Female,Finance,60768,18,Kolkata,16-06-2021
3075,Arjun,61,Female,Sales,-5000,19,Delhi,23-11-2018
4365,Neha,-5,Female,Hr,-5000,-1,Unknown,08-03-2016
3552,Sara,-5,male, finance,-5000,-1,Unknown,20-11-2019
2199,David,70,Female,Marketing,79087,-1,delhi,28-04-2015
4050,David,-5,MALE,IT ,-5000,-1,Delhi,17-10-2020
1566,Bob,150,Femal,Unknown,92768,-1,Unknown,22-11-2023
142,Bob,34,Femal,Sales,-5000,-1,MUMBAI,14-05-2023
2710,Sara,-5,female,Marketing,52951,3,delhi,04-05-2016
4390,Raj,28,Mle,Marketing,-5000,3,Kolkata,20-07-2017
2957,Raj,35,male,Marketing,25965,-1,Chennai,25-02-2022
4022,Eva,150,female,Unknown,-5000,10,Delhi,31-10-2017
3914,Eva,68,Femal,Unknown,29710,4,Kolkata,15-12-2015
2034,Eva,-5,MALE,Hr,-5000,-1,MUMBAI,04-06-2018
494,Eva,64,MALE,Marketing,106563,5,Chennai,10-03-2021
615,Raj,-5,Mle,Unknown,58175,-1,Kolkata,19-11-2022
3720,Bob,59,female,Sales,75723,17,Chennai,24-12-2017
1166,Bob,19,female,Marketing,77560,-1,MUMBAI,20-01-2018
4100,Anna,44,Male, finance,-5000,-1,Delhi,10-01-2016
1876,John,150,female,IT,119125,-1,Kolkata,13-01-2017
3571,Anna,-5,FEMALE, finance,-5000,3,delhi,14-08-2019
4059,Lisa,-5,Male,Unknown,-5000,-1,Mumbai,31-08-2023
3312,John,150,Mle, finance,27104,-1,Unknown,05-01-2022
3622,Alice,-5,male,Marketing,-5000,3,Bangalore,17-12-2022
1298,Lisa,51,Femal,HR,49451,14,Chennai,03-08-2020
2391,Tom,-5,Mle,Sales,79871,12,Chennai,09-09-2024
572,Tom,-5,FEMALE,Hr,55018,-1,Unknown,14-09-2024
